PAROLA,PAROLA CHIAVE,FRASE,COMMENTO,,
canada,"Toronto, vancuver",dov'è toronto?,,,
calendario,Avvento,cos'è dell'avvento,,,
ronzio,zanzara,quale verso zanzara,,,
soia,,quale salsa giapponese (legume),,,
bretelle,cintura,cosa non cintura,,,
attento,distratto,chi non distratto,,,
quercia,secolare,quale albero secolare,,,
capitale,,cos'è roma per italia / cos'è roma politicamente,,,
farmacia,,dove compri medicine,,,
taxi,,quale auto gialla,,,
beatles,lennon,cos'è non rolling stones - quale gruppo lennon,,,
doccia,vasca,cos'è non vasca,,,
dracula,vampiro,quale vampiro famoso conte,,,
edicola,,dove compri giornali,,,
tagliatelle,pasta lunga larga,quale pasta lunga larga?,,,
confetti,,quali mandorle a matrimonio,,,
arlecchino,maschera colorata,quale maschera carnevale colorata?,,,
insetti,elenco,cosa sono formica zanzara generici?,,,
facchino,,chi non portantino fattorino?,,,
brodo,gallina vecchia,cosa fa gallina vecchia,,,
socrate,saggio filosofo,quale filosofo saggio,chi ne platone ne aristotele,,
bollicine,,Quali piccoline in champagne spumante,,,
enciclopedia,raccolta/insieme libri,quale collana di libri,,,
saracinesca,bandone,cos'è bandone sinonimo,,,
corteccia,rivestimento,cos'è rivestimento albero dura,,,
corda,fune,cos'è fune,,,
analogico,digitale,cos'è non digitale,,,
bicicletta,pedalare verbo,cosa pedali con due ruote,,,
dieta,,cos'è piano alimentare,,,                      
alveare,,cos'è non arnia,,,
arnia,,cos'è non alverare,,,
bambola,giocattolo pezza,quale film valeria marini,quale film valeria marini,,
cognato,,chi fratello moglie,,,
risposta,domanda,cos'è non domanda,,,
vendemmia,raccolta uva,cos'è raccolta uva,,,
alfabeto,elenco lettere,cos'è elenco lettere ordinate,,,
nudo,senza vestiti,cos'è senza vestiti,,,
teatro,politeama - della scala,cos'è politeama,,,
cioccolato,fondente,cos'è fondente maschile al latte,,,
asciutto,bagnato,cos'è non bagnato,,,
mani,piedi,cos'è non piedi,,,
cotone,idrofilo? lana?,cos'è idrofilo bianco?,,,
bagnino,,chi salva nuotatore / cos'è guardaspieggia,,,
sake,giapponese liquore,quale liquore giapponese,,,
partecipazioni,,quali inviti matrimonio,,,
fritto,olio,cos'è cotto nell'olio?,,,
cattedrale,notredame,cos'è notredame?,,,
stretta,,cosa non larga,,,
aiuto,sos sostegno?,cos'è  sos ?,valutiamo se sos son tre parole,,
sciopero,,cos'è astensione lavoro,,,
alfiere,,quale pedina muove diagonale,,,
oca,,quale gioco volatile - cos'è non papera anatra,,,
africano,continente nero,quale abitante continente nero,,,
pantera,felino nera,cos'è non tigre nera,,,
ruota,carro,cosa gira nel carro singolare,,,
ariete,,quale segno lello / quale segno arianna,,,
coda,vaccinara,cos'è alla vaccinara,,,
torto,ragione,cos'è non ragione,,,
liceo,scientifico classico,cos'è scientifico classico,,,
eolie,isole sicilia,quali isole siciliane non egadi,,,
vaticano,,quale stato pontificio,,,
sveglio,,chi non dormiente,,,
frigorifero,freezer,cos'è non freezer,,,
sceriffo,nottingam,quale poliziotto di nottingam?,,,
sangria,,quale vino spagnolo dolce frutta?,,,
vasca,doccia,cos'è non doccia,,,
ulivo,,Quale albero per olio extravergine?,,,
patrono,,Quale santo di paese?,,,
cento,,cos'è 99 +1,,,
erba,,cos'è verde del vicino?,,,
buonasera,,quale saluto pomeridiano?,,,
temporale,,quale pioggia con tuoni e lampi?,,,
precedenza,,cosa dai allo stop?,,,
latino,greco,cosa non è greco?,latino greco,,
schiaffo,,cos'è ceffone?,,,
tenero,,PASSO - com'è grano non duro,,,
tosse,starnuto,cos'è non starnuto colpo?,,,
corazza,,quale sinonimo di armatura? - armadillo,,,
ambiente,,PASSO,,,
mentina,,cosa profuma alito piccolina?,,,
mondo,,cos'è pianeta terra ,,,
salvadanaio,,quale maiale contiene monete?,,,
snoopy,,quale cane charlie brown?,,,
tubetto,,quale contenitore dentifricio? piccoletto,,,
coccodè,,quale verso gallina?,,,
shampoo,,quale sapone capelli? non balsamo,,,
valzer,,quale ballo viennese,,,
pannocchia,,Dove sta mais?,,,
scudetto,,Quale premio campionato,,,
lati,cateti,cosa sono cateti?,,,
calabria,,dov'è catanzaro?,,,
coscia,,cosa non è petto pollo?,,,
apollo,apelle,quale padre apelle?,,,
ortica,,quale erba pizzica ?,,,
agrumeto,,quale frutteto limoni arance,,,
sorella,fratello,cos'è non fratello,,,
somma,sottrazione,Cos'è risultato addizione / non sottrazione addizione,,,
karaoke,giapponese,quale gioco canoro giapponese,,,
ritratto,,cos'è di dorian gray,,,
gomma,,cos'è da cancellare masticare,,,
sudore,,cos'è della fronte bagnato?,,,
nave,,cos'è imbarcazione/barca generica?,,,
manna,,cos'è aiuto dal cielo,,,
scimmia,,cos'è scimpanzee babbuino singolare,,,
denari,,quale seme settebello scopa?,,,
arido,,PASSO,,,
annuale,abbonamento palestra,quale abbonamento palestra lungo,,,
meridiano,,cos'è di greenwich ? cos'è non parallelo,,,
storia,,cos'è non geografia filosofia,,,
pizza,,cos'è capricciosa margherita,,,
nuvoloso,,quale meteo coperto,,,
ippica,,quale sport cavalli generica,,,
primo,,cos'è non ultimo,,,
palla,,cos'è da bowling,,,
nazioni,,cosa sono italia francia generiche/non stati,,,
candela,,cos'ha potato tamara,,,
euro,,quale moneta usiamo,,,
frenare,,cos'è non accelerare rallentare,,,
lasvegas,,quale città casinò americana,,,
renzo,,chi non lucia,,,
nerone,piromane,quale imperatore piromane romano,,,
inferiore,,cos'è non superiore,,,
crema,,Cos'è depilatoria solare?,,,
anulare,,quale dito fede?,,,
acino,,cos'è chicco d'uva,,,
cinquina,,cos'è quaterna + 1,,,
marsupio,,quale contenitore canguro,,,
alpinista,,cos'è non appenninista scalatore Monte Bianco,,,
semplice,complesso,cosa non complesso,,,
pistacchio,,cos'è di bronte,,,
trolley,,quale valigia con ruote,,,
cervo,,come esce gullit (da difesa)?,,,
passerella,,dove camminano le modelle,,,
dolcificante,edulcorante,cos'è edulcorante,,,
danubio,,quale fiume budapest,,,
punteggiatura,,"cos'è non virgolatura / cos'è virgola, parentesi grammaticalmente generica","c'era ""punto"" l'ho tolto G.",questa  è passo,
burro,,cos'è non margarina,,,
cartolina,,cosa spedisci piccolina dalla vacanza,,,
genero,,cosè non nuora,,,
cuoco,chef,cos'è chef generico,"c'era cucinare, meglio levarlo... G.",,
flamenco,nacchere,quale ballo spagnolo con nacchere,,,
pentagono,,cos'è esagono meno uno,,,
promosso,,cosa non bocciato,,,
cactus,,quale pianta desertica punge/con spine,,,
regista,,cos'è quentin tarantino,,,
chilometro,,quale distanza stradale standard,,,
cipolla,,cos'è non aglio,"""per me è la cipolla"" G.",,
stereo,,cosè non mono,,,
ulisse,,chi acciecò Polifemo,,,
promesse,,quali non mantiene marinaio plurale(boh politico?),"bella, meglio marinaio di politico G.",,
velo,,Cosa copre volto sposa,,,
capri,ischia,cosa non ischia,,,
veglione,cenone,Quale cena capodanno?,"BOH si va bene, si disse così mi pare e brik indovinò G.",,
meno,,cosa non più,,,
parabola,,cos'è raccontata da gesù,,,
penna,,cosa non matita,,,
pigna,conifera,cosa cade da conifera/quale frutto conifera,aggiunta alternativa G.,,
formica,,cosa non cicala,,,
fila,indiana,cosa fai indiana alla cassa,,,
pali,,cosa non traversa plurale,,,
prendere,lasciare,cos'è non lasciare,,,
orecchio,,cosa contine timpano,l'ho messa più corta G.,,
trofeo,,cos'è testa di leone sul muro,mmmm forse la passerei questa,,
speck,,quale prosciutto/affettato trentino atesino,,,
tutti,,cos'è non nessuno,,,
inglese,,quale lingua londinese/britannica,,,
sol,,quale Nota dopo FA,,,
paese,,"cos'è nazione, stato generico",mmm rischiosina questa G,,
genio,sregolatezza - lampada,cos'è non sregolatezza - cosa esce dalla lampada sfregandola,,,
notte,,cos'è non giorno,,,
diavolo,,chi demonio satana sinonimo / chi non fa coperchi,,,
coppia,,cos'è tris - 1?,,,
mercatino,,cos'è piccolino delle pulci?,"ho tolto ""dell'usato"" G",,
alzare,,cos'è non abbassare,,,
leggere,,cos'è non scrivere,,,
palma,,quale albero del cocco (quale albero caraibico),"ma tipo, ""quale albero di Mallorca?""",,
pale,,cosa/quali sono eoliche alte,,,
mappamondo,,cos'è riproduzione pianeta terra,,,
settimana,,cos'è parte del mese / cos'è sei giorni + 1,,,
otello,,cos'è non Amleto,,,
mais,,cos'è granturco?,cos'è non sempres ,,
michelangelo,,quale nome Buonarroti? quale scultore del David,"quale nome buonarroti direi, rischio confusione con SCULTORE altrimenti..",,
ingresso,,cos'è entrata? (non uscita se continuiamo),,,
manhattan,,quale quartiere statua libertà,,,
palco,,cos'è scenico in teatro,,,
quadrifoglio,,quale erba portafortuna gastone,,,
melone,,Quale Cristian di scuola/cos'è anguria cocomero,,,
pinocchio,,quale burattino bugiardo,,,
angolo,,cos'è acuto ottuso,,,
palloncino,,cosa gonfia IT,,,
mimosa,,quale fiore/pianta 8 marzo?,,,
passato,futuro,cosa non è futuro presente,,,
piselli,,quali legumi verdi,"avevate messo PASSO ma io la definirei così, che ne dite? G",,
saldi,,cosa sono sconti invernali/abbigliamento,,,
pacifico,,cosa non è atlantico,,,
pesante,,cosa non leggero,,,
pattini,,quali scarpe a/con rotelle,,,
italia,,quale nazione nostra,,,
lotto,,quale gioco alle 8 con estrazioni,,,
isola,,cos'è elba giannutri generica,,,
lucertola,geco,cos'è non geco,,,
lampadina,,cosa accende l'idea,,,
himalaya,,quale catena dell'everest,,,
tovaglia,,quale lenzuolo sotto piatti/sulla tavola,,,
idrogeno,,cos'è non ossigeno,"io passerei, la vedo rischiosissima e difficile da ricordare G",fino qui G,
gnocchi,alla sorrentina,cosa cucini alla sorrentina,,,
locomotiva,,quale vagone traina?,,,
giuria,,cos'è popolare nel processo?,,,
litro,,quale unità di misura liquidi ,,,
mameli,,chi scrisse l'inno italiano,,,
goloso,,chi è ghiotto di dolci,,,
destinatario,,cos'è non mittente,,,
ombrellone,,cosa apri in spiaggia,,,
mancino,,cos'è sinistro / non destrorso,,,
locale,,quale rete non internet?,,,
ghiro,,quale animale dorme,,,
gibilterra,,quale stretto spagnolo marocchino?,,,
mancia,,cosa lasci al cameriere,,,
giuseppe,,chi non è maria,,,
giardiniere,,chi cura il prato,,,
crostata,,quale dolce con marmellata strisce frolla,,,
